Date;Tide_amp;Filepath
20180425;1.34;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2B_MSIL1C_20180425T112109_N0206_R037_T28PCT_20180425T165150.SAFE/GRANULE/L1C_T28PCT_A005926_20180425T112821/IMG_DATA
20180125;1.36;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2B_MSIL1C_20180125T112339_N0206_R037_T28PCT_20180125T132303.SAFE/GRANULE/L1C_T28PCT_A004639_20180125T112840/IMG_DATA
20180110;1.39;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2A_MSIL1C_20180110T112431_N0206_R037_T28PCT_20180110T132738.SAFE/GRANULE/L1C_T28PCT_A013333_20180110T113303/IMG_DATA
20180510;1.46;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2A_MSIL1C_20180510T112121_N0206_R037_T28PCT_20180510T150520.SAFE/GRANULE/L1C_T28PCT_A015049_20180510T113021/IMG_DATA
20180209;1.52;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2A_MSIL1C_20180209T112221_N0206_R037_T28PCT_20180209T164004.SAFE/GRANULE/L1C_T28PCT_A013762_20180209T112908/IMG_DATA
20171226;1.90;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2B_MSIL1C_20171226T112449_N0206_R037_T28PCT_20171226T133424.SAFE/GRANULE/L1C_T28PCT_A004210_20171226T113331/IMG_DATA
20171201;2.19;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2A_MSIL1C_20171201T112431_N0206_R037_T28PCT_20171201T131858.SAFE/GRANULE/L1C_T28PCT_A012761_20171201T113116/IMG_DATA
20180115;2.90;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2B_MSIL1C_20180115T112419_N0206_R037_T28PCT_20180115T144551.SAFE/GRANULE/L1C_T28PCT_A004496_20180115T113705/IMG_DATA
20180130;3.07;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2A_MSIL1C_20180130T112311_N0206_R037_T28PCT_20180130T145825.SAFE/GRANULE/L1C_T28PCT_A013619_20180130T113331/IMG_DATA
20180405;3.35;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2B_MSIL1C_20180405T112109_N0206_R037_T28PCT_20180405T134701.SAFE/GRANULE/L1C_T28PCT_A005640_20180405T113102/IMG_DATA
20180306;3.59;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2B_MSIL1C_20180306T112109_N0206_R037_T28PCT_20180306T171213.SAFE/GRANULE/L1C_T28PCT_A005211_20180306T113505/IMG_DATA
20180301;3.68;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2A_MSIL1C_20180301T112111_N0206_R037_T28PCT_20180301T131840.SAFE/GRANULE/L1C_T28PCT_A014048_20180301T113246/IMG_DATA
20180415;3.75;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2B_MSIL1C_20180415T112109_N0206_R037_T28PCT_20180415T133038.SAFE/GRANULE/L1C_T28PCT_A005783_20180415T112636/IMG_DATA
20180120;3.88;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2A_MSIL1C_20180120T112401_N0206_R037_T28PCT_20180120T163613.SAFE/GRANULE/L1C_T28PCT_A013476_20180120T113612/IMG_DATA
20180219;3.97;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2A_MSIL1C_20180219T112111_N0206_R037_T28PCT_20180219T145902.SAFE/GRANULE/L1C_T28PCT_A013905_20180219T113520/IMG_DATA
20180321;4.01;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2A_MSIL1C_20180321T112111_N0206_R037_T28PCT_20180321T132531.SAFE/GRANULE/L1C_T28PCT_A014334_20180321T113537/IMG_DATA
20180331;4.04;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2A_MSIL1C_20180331T112111_N0206_R037_T28PCT_20180331T164456.SAFE/GRANULE/L1C_T28PCT_A014477_20180331T113300/IMG_DATA
20171206;4.08;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2B_MSIL1C_20171206T112429_N0206_R037_T28PCT_20171206T133229.SAFE/GRANULE/L1C_T28PCT_A003924_20171206T113255/IMG_DATA
20180430;4.23;D:/Work/FCUL/Doutoramento/R/Sentinel_experiences_MH/Sentinel_2/s2/S2A_MSIL1C_20180430T112121_N0206_R037_T28PCT_20180430T171546.SAFE/GRANULE/L1C_T28PCT_A014906_20180430T113346/IMG_DATA
