RID;ID;B1.1;B1.2;B02_10;B03_10;B04_10;B08_10;B05_10;B06_10;B07_10;B08a_10;B09_10;B11_10;B12_10;class_1.1;class_2.1;class_3.1;cover_wate.1;cover_shel.1;cover_rock.1;cover_chan.1;cover_uca.1;cover_macr.1;uca_class.1;greeness.1;mangrove.1;penetrabil.1;area..ha..1;X.finos.1;class_name.1;finalclass.1;class_1.2;class_2.2;class_3.2;cover_wate.2;cover_shel.2;cover_rock.2;cover_chan.2;cover_uca.2;cover_macr.2;uca_class.2;greeness.2;mangrove.2;area..ha..2;X.finos.2;classname.2;finalclass.2
2480;1;198.1849646;182.5404746;590.4285714;897;999.4285714;1110.857143;1096.714286;1087.857143;1129.428571;1139.428571;1048.428571;1071.142857;694.7142857;wet;mud;uca;25;0;0;0;100;0;H;N;N;20;0.07;49.48;muddy_uca;muddy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2611;2;203.01015;152.3333927;463.4285714;789.7142857;898.4285714;1073.142857;1038.571429;1063.428571;1094.428571;1113.571429;981;930.8571429;619.2857143;wet;sandy_mud;uca;10;0;0;5;100;0;H;N;N;NA;0.07;23.95;muddy_uca;muddy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2458;3;153.4003401;130.8704581;1209.307692;1681.230769;1748;1996;1782.846154;1781.538462;1836.615385;1914.692308;1365.923077;2057.846154;1508.615385;dry;beach_sand_uca;uca;0;0;0;0;100;0;M;N;N;7;0.124;NA;beach_sand_uca;sandy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2459;4;117.8471526;135.1617423;1179.846154;1632;1697.230769;1970.307692;1792.538462;1784.153846;1857.538462;1948.846154;1419;2054;1479.153846;wet;beach_sand_uca;uca;0;0;0;0;100;0;M;N;N;5;0.124;NA;beach_sand_uca;sandy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2526;5;172.5196569;125.1648505;715.2948718;1097.948718;1120.897436;1307.923077;1275.371795;1260.461538;1296.064103;1339.051282;1161.397436;1015.807692;614.1410256;wet;sand;-;15;0;0;0;0;0;-;N;N;4;0.773;NA;sandy;sandy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2524;6;156.99515;130.0995522;742.82;1128.04;1133.56;1315.88;1292.24;1279.54;1306.54;1340.98;1158.2;1000.1;601.02;wet;sand;-;15;0;0;0;0;0;-;N;N;4;0.494;2.04;sandy;sandy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2525;7;159.1917881;125.3876355;784.2051282;1217.512821;1198.846154;1477.333333;1398.358974;1415.102564;1452.384615;1499.615385;1292.846154;1251.128205;753.3717949;wet;beach_sand;-;2;0;0;0;0;0;-;N;N;4;0.773;2.37;beach_sand;sandy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2421;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;dry;beach_sand_uca;uca;10;0;0;0;50;0;H;N;N;2;6.137;2.15;beach_sand_uca;sandy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2510;9;146.4260272;135.2702582;790.2727273;1170.909091;1162;1360.545455;1344;1307.818182;1347.363636;1387.090909;1209.090909;1113.636364;676.2727273;wet;sand;-;30;1;0;0;0;0;-;N;N;5;0.124;4.95;wet_sandy;sandy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2400;10;141.5217593;117.8407407;1090.55;1663.6;1831.3;2189.7;2013.9;2024;2091.85;2130.55;1505;2359.75;1794.4;dry;beach_sand_uca;uca;0;0;0;0;100;0;M;N;N;6;0.193;1.15;beach_sand_uca;sandy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2507;11;80.11224107;137.5457424;799.5714286;1162;1168.285714;1367.142857;1325.571429;1306.857143;1337;1377;1183.714286;1087.142857;660.8571429;wet;muddy_sand;-;30;10;0;0;0;0;-;N;N;7;0.07;18.16;muddy;muddy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2398;12;180.015262;121.5289899;1135.692308;1628;1693.538462;1978;1851.230769;1839.230769;1882.230769;1969.307692;1446;2238;1718.846154;dry;beach_sand_uca;uca;0;0;0;0;100;0;M;N;N;6;0.124;1.55;beach_sand_uca;sandy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2533;13;215.3371041;132.8648686;594.3333333;915.0833333;1017.166667;1178.5;1150.083333;1143.083333;1177.666667;1202.916667;1066;1068.916667;696.75;-;muddy_sand;uca;2;0;0;1;0;0;-;N;N;20;0.124;12.83;muddy_uca;muddy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2403;14;67.91189803;119.6873146;615.3333333;974.4871795;1026.564103;1186.153846;1187.25641;1173.538462;1190.666667;1185.205128;1199.820513;859.7435897;562.4871795;wet;muddy_sand;-;90;1;0;1;0;0;-;N;N;15;0.379;12.29;muddy;muddy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2424;15;156.5652241;116.544074;804.4464286;1252.857143;1321.964286;1483.089286;1477.991071;1409.696429;1455.428571;1500.571429;1399.830357;1351.428571;836.3482143;wet;sand;-;15;0;0;0;0;0;-;N;N;4;1.112;3.96;sandy;sandy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2386;16;182.2121583;125.7942018;1055.125;1511.0625;1580.625;1846.625;1766.3125;1755.0625;1807.5625;1874.25;1454.8125;2103.375;1617.5625;-;muddy_sand;uca;10;0;0;0;100;0;H;N;N;16;0.031;14.62;muddy_uca;muddy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2428;17;205.6462864;216.2884189;714.75;1109.333333;1194.166667;1354.166667;1325.916667;1274;1302.666667;1388.083333;1370.583333;1532.75;1016.833333;dry;beach_sand_uca;uca;0;0;0;0;100;0;H;N;N;4;0.124;2.94;beach_sand_uca;sandy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2506;18;202.5079795;152.554594;323.8619154;646.0757238;773.2717149;901.8396437;874.9465479;866.155902;889.467706;916.7394209;796.6971047;930.325167;615.7082405;-;mud;uca;0;0;0;5;100;0;H;N;N;20;4.45;56.18;muddy_uca;muddy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2394;19;165.3077119;158.942427;841.75;1289;1394;1603.833333;1544.25;1547.333333;1601.5;1628.416667;1544;1770.416667;1253.25;dry;beach_sand_uca;uca;0;0;0;0;100;0;M;N;N;6;0.124;2.18;beach_sand_uca;sandy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2502;20;139.2148096;119.0944623;686.6694215;1067.847107;1097.805785;1311.404959;1273.892562;1265.644628;1300.892562;1326.243802;1151.173554;1061.950413;639.6446281;wet;muddy_sand;-;70;10;0;0;0;0;-;N;N;16;2.503;13.22;muddy;muddy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2527;21;167.9426189;122.0594687;691.8831169;1071.532468;1110.597403;1300.571429;1263.12987;1253.987013;1294.649351;1333.233766;1143.337662;1002.285714;613.5064935;wet;sand;-;20;0;0;0;0;0;-;N;N;6;0.773;3.66;wet_sandy;sandy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2483;22;113.3708384;126.9772476;686.6428571;1157.857143;1246.428571;1507.285714;1404.785714;1412.714286;1469.642857;1537.571429;1273.5;1489.142857;897.7142857;wet;sand;uca;2;0;0;0;100;0;L;N;N;20;0.124;5.96;sandy_uca;sandy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2482;23;202.0337912;183.4309221;521.5;841.25;963.25;1102.5;1116.25;1113.5;1142.75;1177.5;1062;1131.75;738.75;wet;mud;uca;25;0;0;0;100;0;H;N;N;20;0.031;39.51;muddy_uca;muddy-with-FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
