DN.1;fid.1;name.1;date.1;island.1;gps_id.1;radius.1;colour_sca.1;colour.1;class_1.1;class_2.1;class_3.1;cover_wate.1;cover_shel.1;cover_rock.1;cover_chan.1;cover_uca.1;cover_macr.1;uca_class.1;greeness.1;mangrove.1;penetrabil.1;camera.1;photo.1;obs.1;ele.1;time.1;gpxx_Waypo.1;wptx1_Wayp.1;ctx_Creati.1;layer.1;path.1;area..ha..1;X.finos.1;test1_clas.1;test2_clas.1;test3_clas.1;test4_clas.1;test5_clas.1;test6_clas.1;sandy_uca.1;teste_fin.1;test_fin2.1;teste_bs.1;finalvalue.1;class_name.1;train_val.1;classname.1;fv2.1;new_test.1;fv3.1;fv4.1;fv5.1;fv6.1;finalclass.1;uca.1;fpc.1;ele_2.1;time_2.1;name_2.1;gpxx_Way_1.1;wptx1_Wa_1.1;ctx_Crea_1.1;radius_2.1;Spectral1;DN.2;fid.2;name.2;date.2;island.2;gps_id.2;radius.2;colour_sca.2;colour.2;class_1.2;class_2.2;class_3.2;cover_wate.2;cover_shel.2;cover_rock.2;cover_chan.2;cover_uca.2;cover_macr.2;uca_class.2;greeness.2;mangrove.2;penetrabil.2;camera.2;photo.2;obs.2;ele.2;time.2;gpxx_Waypo.2;wptx1_Wayp.2;ctx_Creati.2;layer.2;path.2;area..ha..2;X.finos.2;test1_clas.2;test2_clas.2;test3_clas.2;test4_clas.2;test5_clas.2;test6_clas.2;sandy_uca.2;teste_fin.2;test_fin2.2;teste_bs.2;finalvalue.2;class_name.2;train_val.2;classname.2;fv2.2;new_test.2;fv3.2;fv4.2;fv5.2;fv6.2;finalclass.2;uca.2;fpc.2;ele_2.2;time_2.2;name_2.2;gpxx_Way_1.2;wptx1_Wa_1.2;ctx_Crea_1.2;radius_2.2;RID;B1.1;B1.2;B02_10;B03_10;B04_10;B08_10;B05_10;B06_10;B07_10;B08a_10;B09_10;B11_10;B12_10
4;2480;2480;07/03/2019;Adonga;1;15;10YR;7A;wet;mud;uca;25;0;0;0;100;0;H;N;N;20;Belo;100-389/390;NA;1;54:06.0;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-07T15:54:06Z</ctx:CreationTime>;gt_pontosbuffer_poligonos_plots;C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots;0.07;49.48;muddy_uca;muddy_uca_water;muddy_uca;muddy_uca;muddy_uca;muddy_uca;other;muddy_uca;muddy_uca;other;7;muddy_uca;training;muddy_uca;2;5;1;5;6;4;muddy-with-FBA;1;2;NA;NA;NA;NA;NA;NA;NA;not Sand with FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2480;198.1849646;182.5404746;590.4285714;897;999.4285714;1110.857143;1096.714286;1087.857143;1129.428571;1139.428571;1048.428571;1071.142857;694.7142857
4;2611;2611;30/03/2019;Adonga;1;15;-;-;wet;sandy_mud;uca;10;0;0;5;100;0;H;N;N;NA;Belo;100-692/693;NA;-0.491408;50:55.0;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-30T09:50:55Z</ctx:CreationTime>;gt_pontosbuffer_poligonos_plots;C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots;0.07;23.95;muddy_uca;muddy_uca;muddy_uca;muddy_uca;muddy_uca;muddy_uca;other;muddy_uca;muddy_uca;other;7;muddy_uca;training;muddy_uca;2;3;1;5;6;4;muddy-with-FBA;1;2;-0.491408;50:55.0;2611;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-30T09:50:55Z</ctx:CreationTime>;15;not Sand with FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2611;203.01015;152.3333927;463.4285714;789.7142857;898.4285714;1073.142857;1038.571429;1063.428571;1094.428571;1113.571429;981;930.8571429;619.2857143
3;2458;2458;04/03/2019;Adonga;1;20;-;-;dry;beach_sand_uca;uca;0;0;0;0;100;0;M;N;N;7;Belo;100-370/371;NA;4.094917;30:36.0;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-04T16:30:36Z</ctx:CreationTime>;gt_pontosbuffer_poligonos_plots;C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots;0.124;NA;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;beach_sand_uca;beach_sand_uca;beach_sand;2;beach_sand_uca;training;beach_sand;1;1;1;1;1;1;sandy-with-FBA;1;1;NA;NA;NA;NA;NA;NA;NA;Sand with FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2458;153.4003401;130.8704581;1209.307692;1681.230769;1748;1996;1782.846154;1781.538462;1836.615385;1914.692308;1365.923077;2057.846154;1508.615385
3;2459;2459;04/03/2019;Adonga;1;20;10YR;7D;wet;beach_sand_uca;uca;0;0;0;0;100;0;M;N;N;5;Belo;100-372/373;NA;4.330557;31:28.0;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-04T16:31:28Z</ctx:CreationTime>;gt_pontosbuffer_poligonos_plots;C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots;0.124;NA;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;beach_sand_uca;beach_sand_uca;beach_sand;2;beach_sand_uca;training;beach_sand;1;1;2;1;1;1;sandy-with-FBA;1;1;NA;NA;NA;NA;NA;NA;NA;Sand with FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2459;117.8471526;135.1617423;1179.846154;1632;1697.230769;1970.307692;1792.538462;1784.153846;1857.538462;1948.846154;1419;2054;1479.153846
3;2526;2526;14/03/2019;Adonga;1;50;10YR;8B;wet;sand;-;15;0;0;0;0;0;-;N;N;4;Belo;100-486/487;sed=id + fotos = q-2524;-0.585707;57:47.0;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-14T10:57:47Z</ctx:CreationTime>;gt_pontosbuffer_poligonos_plots;C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots;0.773;NA;sandy;sandy_water;sandy;sandy;sandy;sediment;other;sandy;sandy;other;3;sandy;training;sandy;2;2;2;2;2;2;sandy;2;1;-0.585707;57:47.0;2526;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-14T10:57:47Z</ctx:CreationTime>;50;not Sand with FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2526;172.5196569;125.1648505;715.2948718;1097.948718;1120.897436;1307.923077;1275.371795;1260.461538;1296.064103;1339.051282;1161.397436;1015.807692;614.1410256
3;2524;2524;14/03/2019;Adonga;1;40;10YR;8B;wet;sand;-;15;0;0;0;0;0;-;N;N;4;Belo;100-486/487;muitos buracos;-0.708679;48:09.0;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-14T10:48:09Z</ctx:CreationTime>;gt_pontosbuffer_poligonos_plots;C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots;0.494;2.04;sandy;sandy_water;sandy;sandy;sandy;sediment;other;sandy;sandy;other;3;sandy;validation;sandy;2;2;2;2;2;2;sandy;2;1;-0.708679;48:09.0;2524;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-14T10:48:09Z</ctx:CreationTime>;40;not Sand with FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2524;156.99515;130.0995522;742.82;1128.04;1133.56;1315.88;1292.24;1279.54;1306.54;1340.98;1158.2;1000.1;601.02
3;2525;2525;14/03/2019;Adonga;1;50;10YR;8B;wet;beach_sand;-;2;0;0;0;0;0;-;N;N;4;Belo;100-488/489;NA;-2.769524;51:00.0;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-14T10:51:00Z</ctx:CreationTime>;gt_pontosbuffer_poligonos_plots;C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots;0.773;2.37;sandy;sandy;sandy;sandy;sandy;sediment;other;beach_sand;beach_sand;beach_sand;1;beach_sand;validation;beach_sand;2;2;2;2;2;2;sandy;2;1;-2.769524;51:00.0;2525;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-14T10:51:00Z</ctx:CreationTime>;50;not Sand with FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2525;159.1917881;125.3876355;784.2051282;1217.512821;1198.846154;1477.333333;1398.358974;1415.102564;1452.384615;1499.615385;1292.846154;1251.128205;753.3717949
2;2421;2421;26/02/2019;Adonga;1;plot19D;10YR;8C;dry;beach_sand_uca;uca;10;0;0;0;50;0;H;N;N;2;Belo;-;sedimento= 2418;NA;NA;NA;NA;NA;gt_pontosbuffer_poligonos_plots;C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots;6.137;2.15;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;beach_sand_uca;beach_sand_uca;beach_sand;2;beach_sand_uca;training;beach_sand;1;1;2;1;1;1;sandy-with-FBA;1;1;NA;NA;NA;NA;NA;NA;NA;Sand with FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2510;2510;13/03/2019;Adonga;1;20;10YR;7B;wet;sand;-;30;1;0;0;0;0;-;N;N;5;Belo;100-457/458;NA;2.760345;23:39.0;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-13T10:23:39Z</ctx:CreationTime>;gt_pontosbuffer_poligonos_plots;C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots;0.124;4.95;sandy;sandy_water;sandy;sandy;wet_sandy;sediment;other;sandy;sandy;other;5;wet_sandy;training;wet_sandy;2;2;2;3;3;2;sandy;2;1;2.760345;23:39.0;2510;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-03-13T10:23:39Z</ctx:CreationTime>;20;not Sand with FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2510;146.4260272;135.2702582;790.2727273;1170.909091;1162;1360.545455;1344;1307.818182;1347.363636;1387.090909;1209.090909;1113.636364;676.2727273
3;2400;2400;20/02/2019;Adonga;1;25;10YR;8C;dry;beach_sand_uca;uca;0;0;0;0;100;0;M;N;N;6;Belo;100-274/275;NA;3.855667;07:56.0;<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>;<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>;<ctx:CreationTime>2019-02-20T17:07:56Z</ctx:CreationTime>;gt_pontosbuffer_poligonos_plots;C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots;0.193;1.15;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;sandy_uca;beach_sand_uca;beach_sand_uca;beach_sand;2;beach_sand_uca;training;beach_sand;1;1;2;1;1;1;sandy-with-FBA;1;1;NA;NA;NA;NA;NA;NA;NA;Sand with FBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2400;141.5217593;117.8407407;1090.55;1663.6;1831.3;2189.7;2013.9;2024;2091.85;2130.55;1505;2359.75;1794.4
