"Point","Day","Radius","Class_1","Class_2","Class_3","c_water","c_mcrph","c_shlls","c_rocks","c_chnnl","c_uca","uc_dnst","greenss","mangrov","sed_Id","obs","obs2","Island","site","Sd_ID_1","X2000","X500","X250","X63","X0","sedID","Sedimnt","Texture","D50_um_","Mn_fw_p","Mn_fw_m","Sand","mud","Sd_clss","Sd_cls1","Clss_22","Clss_11","Class_22","Clss_33","covr_vr","cvr_vr1","WB","rocks","macro","shells","sedmnt0","bsed","uca"
"100","17/02/2020","15","wet","sand",NA,70,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"101","17/02/2020","20","wet","sand",NA,70,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",101,0,0.18,6.1,60.19,0.85,"X101","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",133.549,2.905,64.28,98.737,1.263,"Fine Sand","Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"102","17/02/2020","20","wet","sand",NA,60,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",102,0,0.09,4.51,61.32,0.76,"X102","Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic","Sand",131.034,2.932,62.089,98.86,1.14,"Fine Sand","Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"103","17/02/2020","10","wet","muddy_sand",NA,40,0,0,0,0,"0",NA,"N","N",NA,"pouco muddy",NA,"Urok","praia_abu",103,0,0.71,5.78,50.22,1.22,"X103","Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic","Sand",134.911,2.89,65.103,97.894,2.106,"Fine Sand","Fine Sand","muddy_sand","wet","muddy_sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"104","17/02/2020","10","dry","sand","uca",10,0,0,0,0,"60","M","N","N",NA,NA,NA,"Urok","praia_abu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","dry","sand","uca","uca","uca","dry","other","other","other","uca","other","uca"
"105","17/02/2020","5","dry","sand","uca",10,0,0,0,0,"60","M","N","N",NA,NA,NA,"Urok","praia_abu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","dry","sand","uca","uca","uca","dry","other","other","other","uca","other","uca"
"106","17/02/2020","10","wet","sand",NA,70,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"107","17/02/2020","10","dry","sand","uca",0,0,0,0,0,"60","M","N","N",NA,NA,NA,"Urok","praia_abu",107,0,0.16,0.57,57.3,2.47,"X107","Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic","Sand",122.9,3.024,53.996,95.917,4.083,"Very Fine Sand","Very Fine Sand","sand","dry","sand","uca","uca","uca","dry","other","other","other","uca","other","uca"
"108","17/02/2020","15","dry","sand","uca",5,0,0,0,5,"60","M","N","N",NA,NA,NA,"Urok","praia_abu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","dry","sand","uca","uca","uca","dry","other","other","other","uca","other","uca"
"109","17/02/2020","5","dry","muddy_sand","uca",0,0,0,0,0,"60","M","N","N",NA,NA,NA,"Urok","praia_abu",109,0,0.39,10.53,38.96,2.66,"X109","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",145.243,2.747,74.644,94.937,5.063,"Fine Sand","Fine Sand","muddy_sand","dry","muddy_sand","uca","uca","uca","dry","other","other","other","uca","other","uca"
"110","17/02/2020","10","dry","muddy_sand","uca",0,0,0,0,0,"60","M","N","N","109",NA,NA,"Urok","praia_abu",110,0,0.78,3.76,35.99,8.79,"X110","Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic","Muddy Sand",115.69,3.3,28.73,82.178,17.822,"Very Fine Sand","Very Fine Sand","muddy_sand","dry","muddy_sand","uca","uca","uca","dry","other","other","other","uca","other","uca"
"111","17/02/2020","5","dry","muddy_sand",NA,0,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"muddy_sand","dry","muddy_sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"112","17/02/2020","15","wet","muddy_sand","rock",5,0,0,50,0,"0",NA,"N","N","111","rock pretas e brancas e ostras nas rochas",NA,"Urok","praia_abu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"muddy_sand","wet","muddy_sand","rock","rock","rock","dry","rock","other","other",NA,"other","other"
"113","17/02/2020","15","wet","muddy_sand",NA,70,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"muddy_sand","wet","muddy_sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"114","17/02/2020","20","wet","muddy_sand",NA,60,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",114,0,0.03,5.05,56.35,0.73,"X114","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",132.356,2.917,63.251,98.826,1.174,"Fine Sand","Fine Sand","muddy_sand","wet","muddy_sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"115","17/02/2020","20","wet","muddy_sand",NA,80,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",115,0,0.03,12.77,52.62,0.86,"X115","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",146.742,2.739,78.219,98.702,1.298,"Fine Sand","Fine Sand","muddy_sand","wet","muddy_sand","bare_sediment","bare_sediment","bare_sediment","flooded","other","other","other","bare_sediment","bare_sediment","other"
"116","17/02/2020","20","wet","sand",NA,50,0,0,0,0,"0",NA,"N","N",NA,"fina camada de mud",NA,"Urok","praia_abu",116,0,0.42,16.76,53.16,0.65,"X116","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",155.492,2.642,88.266,99.084,0.916,"Fine Sand","Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"117","17/02/2020","40","wet","sand",NA,40,0,0,0,0,"0",NA,"N","N",NA,"fina camada de mud",NA,"Urok","praia_abu",117,0,0.53,15.88,51.05,0.89,"X117","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",154.751,2.648,87.231,98.698,1.302,"Fine Sand","Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"118","17/02/2020","40","wet","sand",NA,40,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",118,0,0.81,9.85,63.63,0.39,"X118","Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic","Sand",140.265,2.834,70.843,99.478,0.522,"Fine Sand","Fine Sand","sand","wet","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"119","17/02/2020","20","wet","sand","shell",90,10,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",119,0,0,7.22,25.88,0.35,"X119","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",150.692,2.692,82.871,98.954,1.046,"Fine Sand","Fine Sand","sand","wet","sand","shell","water_body","water_body","flooded","other","other","other","bare_sediment","other","other"
"120","17/02/2020","10","wet","muddy_sand",NA,20,10,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",120,0,0.63,7.37,47.75,1.3,"X120","Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic","Sand",138.241,2.855,68.031,97.721,2.279,"Fine Sand","Fine Sand","muddy_sand","wet","muddy_sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"121","17/02/2020","10","dry","sand",NA,10,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",121,0,0.53,4.51,67.58,0.57,"X121","Fine Sand,Moderately Sorted,Symmetrical,Platykurtic","Sand",131.352,2.928,62.528,99.221,0.779,"Fine Sand","Fine Sand","sand","dry","sand","bare_sediment","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
"122","17/02/2020","30","wet",NA,"shell",20,0,0,0,0,"0",NA,"N","N",NA,NA,NA,"Urok","praia_abu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wet",NA,"shell","bare_sediment","bare_sediment","dry","other","other","other","bare_sediment","bare_sediment","other"
