"Point";"Day";"Radius";"Class_1";"Class_2";"Class_3";"c_water";"c_mcrph";"c_shlls";"c_rocks";"c_chnnl";"c_uca";"uc_dnst";"greenss";"mangrov";"obs";"obs2";"Island";"site";"Sed_ID";"X2000";"X500";"X250";"X63";"X0";"Sedimnt";"Texture";"D50_um_";"Mn_fw_p";"Mn_fw_m";"Sand";"mud";"Sd_clss";"Sd_cls1";"Clss_22";"Clss_11";"Class_22";"Clss_33";"covr_vr";"cvr_vr1";"cvr_vrA";"cvr_sd_f";"cvr_sd_g";"WB";"WD";"rocks";"macro";"shells";"sedmnt0";"bsed";"bsed1";"uca"
"100";"17/02/2020";"15";"wet";"sand";NA;70;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"100";0;0.09;0.44;98.35;1.13;"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";124.972;3;56.833;98.873;1.127;"Very Fine Sand";"Very Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Very Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"101";"17/02/2020";"20";"wet";"sand";NA;70;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"101";0;0.27;9.06;89.41;1.26;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";133.549;2.905;64.28;98.737;1.263;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"102";"17/02/2020";"20";"wet";"sand";NA;60;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"102";0;0.13;6.76;91.96;1.14;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";131.034;2.932;62.089;98.86;1.14;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"103";"17/02/2020";"10";"wet";"muddy_sand";NA;40;0;0;0;0;"0";NA;"N";"N";"pouco muddy";NA;"Urok";"praia_abu";"103";0;1.23;9.98;86.69;2.11;"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand";134.911;2.89;65.103;97.894;2.106;"Fine Sand";"Fine Sand";"muddy_sand";"wet";"muddy_sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_muddy_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"104";"17/02/2020";"10";"dry";"sand";"uca";10;0;0;0;0;"60";"M";"N";"N";NA;NA;"Urok";"praia_abu";"104";0;0.26;1.55;94.65;3.54;"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";123.932;3.012;55.047;96.461;3.539;"Very Fine Sand";"Very Fine Sand";"sand";"dry";"sand";"uca";"uca";"uca";"uca";"uca_sand";"uca_Very Fine Sand";"dry";"dry";"other";"other";"other";"uca";"other";"other";"uca"
"105";"17/02/2020";"5";"dry";"sand";"uca";10;0;0;0;0;"60";"M";"N";"N";NA;NA;"Urok";"praia_abu";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sand";"dry";"sand";"uca";"uca";"uca";"uca";"uca_sand";"uca_NA";"dry";"dry";"other";"other";"other";"uca";"other";"other";"uca"
"106";"17/02/2020";"10";"wet";"sand";NA;70;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_NA";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"107";"17/02/2020";"10";"dry";"sand";"uca";0;0;0;0;0;"60";"M";"N";"N";NA;NA;"Urok";"praia_abu";"107";0;0.26;0.94;94.71;4.08;"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";122.9;3.024;53.996;95.917;4.083;"Very Fine Sand";"Very Fine Sand";"sand";"dry";"sand";"uca";"uca";"uca";"uca";"uca_sand";"uca_Very Fine Sand";"dry";"dry";"other";"other";"other";"uca";"other";"other";"uca"
"108";"17/02/2020";"15";"dry";"sand";"uca";5;0;0;0;5;"60";"M";"N";"N";NA;NA;"Urok";"praia_abu";"108";0;0.84;2.03;84.8;12.33;"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";116.207;3.105;45.59;87.666;12.334;"Very Fine Sand";"Very Fine Sand";"sand";"dry";"sand";"uca";"uca";"uca";"uca";"uca_sand";"uca_Very Fine Sand";"dry";"dry";"other";"other";"other";"uca";"other";"other";"uca"
"109";"17/02/2020";"5";"dry";"muddy_sand";"uca";0;0;0;0;0;"60";"M";"N";"N";NA;NA;"Urok";"praia_abu";"109";0;0.74;20.04;74.15;5.06;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";145.243;2.747;74.644;94.937;5.063;"Fine Sand";"Fine Sand";"muddy_sand";"dry";"muddy_sand";"uca";"uca";"uca";"uca";"uca_muddy_sand";"uca_Fine Sand";"dry";"dry";"other";"other";"other";"uca";"other";"other";"uca"
"110";"17/02/2020";"10";"dry";"muddy_sand";"uca";0;0;0;0;0;"60";"M";"N";"N";NA;NA;"Urok";"praia_abu";"109";0;0.74;20.04;74.15;5.06;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";145.243;2.747;74.644;94.937;5.063;"Fine Sand";"Fine Sand";"muddy_sand";"dry";"muddy_sand";"uca";"uca";"uca";"uca";"uca_muddy_sand";"uca_Fine Sand";"dry";"dry";"other";"other";"other";"uca";"other";"other";"uca"
"111";"17/02/2020";"5";"dry";"muddy_sand";NA;0;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"111";0.23;5.42;10.08;78.06;6.2;"Fine Sand,Poorly Sorted,Symmetrical,Leptokurtic";"Slightly Gravelly Sand";136.512;2.873;64.307;93.566;6.204;"Fine Sand";"Fine Sand";"muddy_sand";"dry";"muddy_sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_muddy_sand";"bare_sediment_Fine Sand";"dry";"dry";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"112";"17/02/2020";"15";"wet";"muddy_sand";"rock";5;0;0;50;0;"0";NA;"N";"N";"rock pretas e brancas e ostras nas rochas";NA;"Urok";"praia_abu";"111";0.23;5.42;10.08;78.06;6.2;"Fine Sand,Poorly Sorted,Symmetrical,Leptokurtic";"Slightly Gravelly Sand";136.512;2.873;64.307;93.566;6.204;"Fine Sand";"Fine Sand";"muddy_sand";"wet";"muddy_sand";"rock";"rock";"rock";"rock";"rock";"rock";"dry";"dry";"rock";"other";"other";NA;"other";"other";"other"
"113";"17/02/2020";"15";"wet";"muddy_sand";NA;70;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"113";0;0.14;5.74;89.38;4.74;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";126.609;2.982;56.748;95.261;4.739;"Fine Sand";"Fine Sand";"muddy_sand";"wet";"muddy_sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_muddy_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"114";"17/02/2020";"20";"wet";"muddy_sand";NA;60;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"114";0;0.05;8.12;90.65;1.17;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";132.356;2.917;63.251;98.826;1.174;"Fine Sand";"Fine Sand";"muddy_sand";"wet";"muddy_sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_muddy_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"115";"17/02/2020";"20";"wet";"muddy_sand";NA;80;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"115";0;0.05;19.27;79.39;1.3;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";146.742;2.739;78.219;98.702;1.298;"Fine Sand";"Fine Sand";"muddy_sand";"wet";"muddy_sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_muddy_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"116";"17/02/2020";"20";"wet";"sand";NA;50;0;0;0;0;"0";NA;"N";"N";"fina camada de mud";NA;"Urok";"praia_abu";"116";0;0.59;23.61;74.88;0.92;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";155.492;2.642;88.266;99.084;0.916;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"117";"17/02/2020";"40";"wet";"sand";NA;40;0;0;0;0;"0";NA;"N";"N";"fina camada de mud";NA;"Urok";"praia_abu";"117";0;0.78;23.23;74.69;1.3;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";154.751;2.648;87.231;98.698;1.302;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"118";"17/02/2020";"40";"wet";"sand";NA;40;0;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"118";0;1.08;13.19;85.2;0.52;"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand";140.265;2.834;70.843;99.478;0.522;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"bare_sediment";"bare_sediment";"other"
"119";"17/02/2020";"20";"wet";"sand";"shell";90;10;0;0;0;"0";NA;"N";"N";NA;NA;"Urok";"praia_abu";"119";0;0;21.58;77.37;1.05;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";150.692;2.692;82.871;98.954;1.046;"Fine Sand";"Fine Sand";"sand";"wet";"sand";"shell";"water_body";"water_body";"bare_sediment";"bare_sediment_sand";"bare_sediment_Fine Sand";"flooded";"wet";"other";"other";"other";"bare_sediment";"other";"water_body";"other"
