"Sed_ID";"2000";"500";"250";"63";"0";"sedID";"Sediment";"Texture";"D50(um)";"Mean.fw.phi";"Mean.fw.um";"Sand";"mud";"sed_Id";"Sed_class1";"Sed_class"
61;0;1.24;15.23;77.03;6.51;"X61";"Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic";"Sand";137.196;2.859;64.99;93.494;6.506;"61";"Fine Sand";"Fine Sand"
62;0;0.85;22.47;71.4;5.27;"X62";"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand";149.39;2.702;78.636;94.727;5.273;"62";"Fine Sand";"Fine Sand"
65;0;1.35;25.72;70.3;2.62;"X65";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";159.495;2.609;90.888;97.376;2.624;"65";"Fine Sand";"Fine Sand"
66;0;1.21;40.38;56.46;1.95;"X66";"Fine Sand,Moderately Sorted,Fine Skewed,Platykurtic";"Sand";203.582;2.385;131.803;98.05;1.95;"66";"Fine Sand";"Fine Sand"
67;0;0.42;20.73;73.12;5.72;"X67";"Fine Sand,Poorly Sorted,Symmetrical,Mesokurtic";"Sand";145.148;2.748;74.054;94.276;5.724;"67";"Fine Sand";"Fine Sand"
69;0;1.79;15.28;79.4;3.53;"X69";"Fine Sand,Moderately Sorted,Coarse Skewed,Platykurtic";"Sand";141.155;2.81;70.701;96.474;3.526;"69";"Fine Sand";"Fine Sand"
71;0;0.64;12.58;83.2;3.58;"X71";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";135.927;2.879;65.259;96.421;3.579;"71";"Fine Sand";"Fine Sand"
72;0;2.17;28.84;64.83;4.17;"X72";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";166.941;2.563;96.095;95.833;4.167;"72";"Fine Sand";"Fine Sand"
73;0;1.58;28.88;67.71;1.84;"X73";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";167.931;2.549;99.818;98.161;1.839;"73";"Fine Sand";"Fine Sand"
78;0;4;46.46;48.27;1.27;"X78";"Fine Sand,Moderately Sorted,Very Fine Skewed,Platykurtic";"Sand";251.722;2.21;180.599;98.734;1.266;"78";"Fine Sand";"Fine Sand"
86;0;7.84;21.09;70.06;1.01;"X86";"Fine Sand,Poorly Sorted,Coarse Skewed,Mesokurtic";"Sand";165.146;2.516;101.407;98.988;1.012;"86";"Fine Sand";"Fine Sand"
87;0;1.18;29.67;67.93;1.22;"X87";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";169.498;2.539;101.919;98.778;1.222;"87";"Fine Sand";"Fine Sand"
88;0;0.42;20.49;77.88;1.21;"X88";"Fine Sand,Moderately Sorted,Coarse Skewed,Platykurtic";"Sand";149.395;2.705;81.412;98.788;1.212;"88";"Fine Sand";"Fine Sand"
89;0;4.13;62.64;33.04;0.19;"X89";"Medium Sand,Moderately Sorted,Very Fine Skewed,Mesokurtic";"Sand";300.972;1.986;278.576;99.812;0.188;"89";"Medium Sand";"Medium Sand"
91;0;0.85;27.51;69.44;2.2;"X91";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";162.705;2.588;94.21;97.801;2.199;"91";"Fine Sand";"Fine Sand"
92;0;0.36;11.4;86.71;1.53;"X92";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";136.124;2.877;66.482;98.468;1.532;"92";"Fine Sand";"Fine Sand"
97;0;0.22;1.16;97.28;1.33;"X97";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";125.545;2.994;57.243;98.667;1.333;"97";"Fine Sand";"Fine Sand"
98;0;0.3;1.83;96.03;1.84;"X98";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";125.754;2.991;57.225;98.156;1.844;"98";"Fine Sand";"Fine Sand"
100;0;0.09;0.44;98.35;1.13;"X100";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";124.972;3;56.833;98.873;1.127;"100";"Very Fine Sand";"Very Fine Sand"
101;0;0.27;9.06;89.41;1.26;"X101";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";133.549;2.905;64.28;98.737;1.263;"101";"Fine Sand";"Fine Sand"
102;0;0.13;6.76;91.96;1.14;"X102";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";131.034;2.932;62.089;98.86;1.14;"102";"Fine Sand";"Fine Sand"
103;0;1.23;9.98;86.69;2.11;"X103";"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand";134.911;2.89;65.103;97.894;2.106;"103";"Fine Sand";"Fine Sand"
104;0;0.26;1.55;94.65;3.54;"X104";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";123.932;3.012;55.047;96.461;3.539;"104";"Very Fine Sand";"Very Fine Sand"
107;0;0.26;0.94;94.71;4.08;"X107";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";122.9;3.024;53.996;95.917;4.083;"107";"Very Fine Sand";"Very Fine Sand"
108;0;0.84;2.03;84.8;12.33;"X108";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";116.207;3.105;45.59;87.666;12.334;"108";"Very Fine Sand";"Very Fine Sand"
109;0;0.74;20.04;74.15;5.06;"X109";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";145.243;2.747;74.644;94.937;5.063;"109";"Fine Sand";"Fine Sand"
110;0;1.58;7.62;72.97;17.82;"X110";"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand";115.69;3.3;28.73;82.178;17.822;"110";"Very Fine Sand";"Very Fine Sand"
111;0.23;5.42;10.08;78.06;6.2;"X111";"Fine Sand,Poorly Sorted,Symmetrical,Leptokurtic";"Slightly Gravelly Sand";136.512;2.873;64.307;93.566;6.204;"111";"Fine Sand";"Fine Sand"
113;0;0.14;5.74;89.38;4.74;"X113";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";126.609;2.982;56.748;95.261;4.739;"113";"Fine Sand";"Fine Sand"
114;0;0.05;8.12;90.65;1.17;"X114";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";132.356;2.917;63.251;98.826;1.174;"114";"Fine Sand";"Fine Sand"
115;0;0.05;19.27;79.39;1.3;"X115";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";146.742;2.739;78.219;98.702;1.298;"115";"Fine Sand";"Fine Sand"
116;0;0.59;23.61;74.88;0.92;"X116";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";155.492;2.642;88.266;99.084;0.916;"116";"Fine Sand";"Fine Sand"
117;0;0.78;23.23;74.69;1.3;"X117";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";154.751;2.648;87.231;98.698;1.302;"117";"Fine Sand";"Fine Sand"
118;0;1.08;13.19;85.2;0.52;"X118";"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand";140.265;2.834;70.843;99.478;0.522;"118";"Fine Sand";"Fine Sand"
119;0;0;21.58;77.37;1.05;"X119";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";150.692;2.692;82.871;98.954;1.046;"119";"Fine Sand";"Fine Sand"
120;0;1.1;12.92;83.7;2.28;"X120";"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand";138.241;2.855;68.031;97.721;2.279;"120";"Fine Sand";"Fine Sand"
121;0;0.72;6.16;92.34;0.78;"X121";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";131.352;2.928;62.528;99.221;0.779;"121";"Fine Sand";"Fine Sand"
126;0;0;28.5;71.3;0.2;"X126";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";164.974;2.57;98.333;99.797;0.203;"126";"Fine Sand";"Fine Sand"
128;0;0;27.44;72.04;0.52;"X128";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";162.373;2.589;95.426;99.483;0.517;"128";"Fine Sand";"Fine Sand"
130;0;0.51;13.2;85.52;0.77;"X130";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";139.3;2.844;69.807;99.235;0.765;"130";"Fine Sand";"Fine Sand"
131;0;0.64;3.15;94.74;1.47;"X131";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";127.628;2.97;58.973;98.526;1.474;"131";"Fine Sand";"Fine Sand"
132;0;0.46;3.11;90.78;5.65;"X132";"Very Fine Sand,Moderately Sorted,Fine Skewed,Mesokurtic";"Sand";123.535;3.017;53.874;94.351;5.649;"132";"Very Fine Sand";"Very Fine Sand"
135;0;0.39;3.19;92.75;3.67;"X135";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";125.416;2.995;56.218;96.333;3.667;"135";"Fine Sand";"Fine Sand"
136;0;0.7;2.7;88.07;8.53;"X136";"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Sand";120.556;3.052;50.356;91.469;8.531;"136";"Very Fine Sand";"Very Fine Sand"
