"Sed_ID";"2000";"500";"250";"63";"0";"sedID";"D50(um)";"Mean.fw.phi";"Mean.fw.um";"mud";"Sand";"Sediment";"Texture"
62;0;0.48;12.66;40.22;2.97;"X62";149.39;2.702;78.636;5.273;94.727;"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand"
71;0;0.37;7.31;48.35;2.08;"X71";135.927;2.879;65.259;3.579;96.421;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
73;0;1.14;20.89;48.98;1.33000000000001;"X73";167.931;2.549;99.818;1.839;98.161;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
87;0;0.82;20.64;47.26;0.849999999999994;"X87";169.498;2.539;101.919;1.222;98.778;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
88;0;0.3;14.71;55.91;0.870000000000005;"X88";149.395;2.705;81.412;1.212;98.788;"Fine Sand,Moderately Sorted,Coarse Skewed,Platykurtic";"Sand"
89;0;2.85;43.22;22.8;0.129999999999995;"X89";300.972;1.986;278.576;0.188;99.812;"Medium Sand,Moderately Sorted,Very Fine Skewed,Mesokurtic";"Sand"
91;0;0.55;17.89;45.15;1.42999999999999;"X91";162.705;2.588;94.21;2.199;97.801;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
92;0;0.24;7.59;57.75;1.02;"X92";136.124;2.877;66.482;1.532;98.468;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
101;0;0.18;6.1;60.19;0.849999999999994;"X101";133.549;2.905;64.28;1.263;98.737;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
102;0;0.09;4.51;61.32;0.760000000000005;"X102";131.034;2.932;62.089;1.14;98.86;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand"
103;0;0.71;5.78;50.22;1.22;"X103";134.911;2.89;65.103;2.106;97.894;"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand"
109;0;0.39;10.53;38.96;2.66;"X109";145.243;2.747;74.644;5.063;94.937;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
110;0;0.78;3.76;35.99;8.79;"X110";115.69;3.3;28.73;17.822;82.178;"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand"
114;0;0.03;5.05;56.35;0.729999999999997;"X114";132.356;2.917;63.251;1.174;98.826;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
115;0;0.03;12.77;52.62;0.859999999999999;"X115";146.742;2.739;78.219;1.298;98.702;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
116;0;0.42;16.76;53.16;0.649999999999991;"X116";155.492;2.642;88.266;0.916;99.084;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
117;0;0.53;15.88;51.05;0.890000000000015;"X117";154.751;2.648;87.231;1.302;98.698;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
118;0;0.81;9.85;63.63;0.390000000000001;"X118";140.265;2.834;70.843;0.522;99.478;"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand"
119;0;0;7.22;25.88;0.350000000000001;"X119";150.692;2.692;82.871;1.046;98.954;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
120;0;0.63;7.37;47.75;1.3;"X120";138.241;2.855;68.031;2.279;97.721;"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand"
121;0;0.53;4.51;67.58;0.569999999999993;"X121";131.352;2.928;62.528;0.779;99.221;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
126;0;0;18.25;45.66;0.13000000000001;"X126";164.974;2.57;98.333;0.203;99.797;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
128;0;0;18.05;47.38;0.339999999999989;"X128";162.373;2.589;95.426;0.517;99.483;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
130;0;0.35;8.97;58.13;0.519999999999996;"X130";139.3;2.844;69.807;0.765;99.235;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
131;0;0.44;2.18;65.56;1.02;"X131";127.628;2.97;58.973;1.474;98.526;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand"
132;0;0.27;1.81;52.87;3.29000000000001;"X132";123.535;3.017;53.874;5.649;94.351;"Very Fine Sand,Moderately Sorted,Fine Skewed,Mesokurtic";"Sand"
135;0;0.26;2.15;62.47;2.47;"X135";125.416;2.995;56.218;3.667;96.333;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand"
136;0;0.43;1.66;54.2;5.24999999999999;"X136";120.556;3.052;50.356;8.531;91.469;"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Sand"
138;0;0.03;2.01;36.81;3.39;"X138";122.367;3.031;51.942;8.026;91.974;"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Sand"
139;0;0.3;2.16;64.23;1.49000000000001;"X139";126.812;2.979;57.989;2.185;97.815;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand"
142;0;0.52;7.03;62.96;0.939999999999998;"X142";134.916;2.89;65.489;1.316;98.684;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
143;0;0.26;3.92;52.53;1.68;"X143";129.683;2.947;60.151;2.877;97.123;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
144;0;0.39;1.51;56.84;0.369999999999997;"X144";127.849;2.967;59.501;0.626;99.374;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand"
147;0;0.56;2.88;37.99;4.18;"X147";123.826;3.014;52.52;9.165;90.835;"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Sand"
157;0;1.17;7.21;48.64;0.350000000000001;"X157";140.622;2.83;71.135;0.61;99.39;"Fine Sand,Moderately Sorted,Coarse Skewed,Mesokurtic";"Sand"
168;0;0.52;1.79;59.6;0.729999999999997;"X168";127.813;2.968;59.257;1.165;98.835;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand"
179;0;2.56;3.73;29.6;3.02;"X179";135.427;2.88;62.65;7.762;92.238;"Fine Sand,Poorly Sorted,Symmetrical,Very Leptokurtic";"Sand"
