"DN";"fid";"name";"date";"island";"gps_id";"radius";"colour_sca";"colour";"class_1";"class_2";"class_3";"cover_wate";"cover_shel";"cover_rock";"cover_chan";"cover_uca";"cover_macr";"uca_class";"greeness";"mangrove";"penetrabil";"camera";"photo";"obs";"ele";"time";"gpxx_Waypo";"wptx1_Wayp";"ctx_Creati";"layer";"path";"area..ha.";"X.finos";"test1_clas";"test2_clas";"test3_clas";"test4_clas";"test5_clas";"test6_clas";"sandy_uca";"teste_fin";"test_fin2";"teste_bs";"finalvalue";"class_name";"train_val";"classname";"fv2";"new_test";"fv3";"fv4";"fv5";"fv6";"finalclass";"uca";"fpc";"ele_2";"time_2";"name_2";"gpxx_Way_1";"wptx1_Wa_1";"ctx_Crea_1";"radius_2";"Spectral1"
4;2480;"2480";"07/03/2019";"Adonga";"1";"15";"10YR";"7A";"wet";"mud";"uca";25;0;0;0;100;0;"H";"N";"N";20;"Belo";"100-389/390";NA;1;"2019/03/07 15:54:06.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-07T15:54:06Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.07;49.48;"muddy_uca";"muddy_uca_water";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"muddy_uca";"muddy_uca";"other";"7";"muddy_uca";"training";"muddy_uca";"2";"5";"1";"5";"6";"4";"muddy-with-FBA";"1";"2";NA;NA;NA;NA;NA;NA;NA;"not Sand with FBA"
4;2611;"2611";"30/03/2019";"Adonga";"1";"15";"-";"-";"wet";"sandy_mud";"uca";10;0;0;5;100;0;"H";"N";"N";NA;"Belo";"100-692/693";NA;-0.491408;"2019/03/30 09:50:55.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-30T09:50:55Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.07;23.95;"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"muddy_uca";"other";"muddy_uca";"muddy_uca";"other";"7";"muddy_uca";"training";"muddy_uca";"2";"3";"1";"5";"6";"4";"muddy-with-FBA";"1";"2";-0.491408;"2019/03/30 09:50:55.000";"2611";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-30T09:50:55Z</ctx:CreationTime>";"15";"not Sand with FBA"
3;2458;"2458";"04/03/2019";"Adonga";"1";"20";"-";"-";"dry";"beach_sand_uca";"uca";0;0;0;0;100;0;"M";"N";"N";7;"Belo";"100-370/371";NA;4.094917;"2019/03/04 16:30:36.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-04T16:30:36Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;NA;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"beach_sand_uca";"beach_sand_uca";"beach_sand";"2";"beach_sand_uca";"training";"beach_sand";"1";"1";"1";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
3;2459;"2459";"04/03/2019";"Adonga";"1";"20";"10YR";"7D";"wet";"beach_sand_uca";"uca";0;0;0;0;100;0;"M";"N";"N";5;"Belo";"100-372/373";NA;4.330557;"2019/03/04 16:31:28.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-04T16:31:28Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;NA;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"beach_sand_uca";"beach_sand_uca";"beach_sand";"2";"beach_sand_uca";"training";"beach_sand";"1";"1";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
3;2526;"2526";"14/03/2019";"Adonga";"1";"50";"10YR";"8B";"wet";"sand";"-";15;0;0;0;0;0;"-";"N";"N";4;"Belo";"100-486/487";"sed=id + fotos = q-2524";-0.585707;"2019/03/14 10:57:47.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-14T10:57:47Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.773;NA;"sandy";"sandy_water";"sandy";"sandy";"sandy";"sediment";"other";"sandy";"sandy";"other";"3";"sandy";"training";"sandy";"2";"2";"2";"2";"2";"2";"sandy";"2";"1";-0.585707;"2019/03/14 10:57:47.000";"2526";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-14T10:57:47Z</ctx:CreationTime>";"50";"not Sand with FBA"
3;2524;"2524";"14/03/2019";"Adonga";"1";"40";"10YR";"8B";"wet";"sand";"-";15;0;0;0;0;0;"-";"N";"N";4;"Belo";"100-486/487";"muitos buracos";-0.708679;"2019/03/14 10:48:09.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-14T10:48:09Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.494;2.04;"sandy";"sandy_water";"sandy";"sandy";"sandy";"sediment";"other";"sandy";"sandy";"other";"3";"sandy";"validation";"sandy";"2";"2";"2";"2";"2";"2";"sandy";"2";"1";-0.708679;"2019/03/14 10:48:09.000";"2524";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-14T10:48:09Z</ctx:CreationTime>";"40";"not Sand with FBA"
3;2525;"2525";"14/03/2019";"Adonga";"1";"50";"10YR";"8B";"wet";"beach_sand";"-";2;0;0;0;0;0;"-";"N";"N";4;"Belo";"100-488/489";NA;-2.769524;"2019/03/14 10:51:00.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-14T10:51:00Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.773;2.37;"sandy";"sandy";"sandy";"sandy";"sandy";"sediment";"other";"beach_sand";"beach_sand";"beach_sand";"1";"beach_sand";"validation";"beach_sand";"2";"2";"2";"2";"2";"2";"sandy";"2";"1";-2.769524;"2019/03/14 10:51:00.000";"2525";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-14T10:51:00Z</ctx:CreationTime>";"50";"not Sand with FBA"
2;2421;"2421";"26/02/2019";"Adonga";"1";"plot19D";"10YR";"8C";"dry";"beach_sand_uca";"uca";10;0;0;0;50;0;"H";"N";"N";2;"Belo";"-";"sedimento= 2418";NA;NA;NA;NA;NA;"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";6.137;2.15;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"beach_sand_uca";"beach_sand_uca";"beach_sand";"2";"beach_sand_uca";"training";"beach_sand";"1";"1";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
3;2510;"2510";"13/03/2019";"Adonga";"1";"20";"10YR";"7B";"wet";"sand";"-";30;1;0;0;0;0;"-";"N";"N";5;"Belo";"100-457/458";NA;2.760345;"2019/03/13 10:23:39.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-13T10:23:39Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.124;4.95;"sandy";"sandy_water";"sandy";"sandy";"wet_sandy";"sediment";"other";"sandy";"sandy";"other";"5";"wet_sandy";"training";"wet_sandy";"2";"2";"2";"3";"3";"2";"sandy";"2";"1";2.760345;"2019/03/13 10:23:39.000";"2510";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-03-13T10:23:39Z</ctx:CreationTime>";"20";"not Sand with FBA"
3;2400;"2400";"20/02/2019";"Adonga";"1";"25";"10YR";"8C";"dry";"beach_sand_uca";"uca";0;0;0;0;100;0;"M";"N";"N";6;"Belo";"100-274/275";NA;3.855667;"2019/02/20 17:07:56.000";"<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>";"<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>";"<ctx:CreationTime>2019-02-20T17:07:56Z</ctx:CreationTime>";"gt_pontosbuffer_poligonos_plots";"C:/Users/Utilizador/Desktop/tese/qgis_groundtruthing/gt_pontosbuffer_poligonos_plots.shp|layername=gt_pontosbuffer_poligonos_plots";0.193;1.15;"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"sandy_uca";"beach_sand_uca";"beach_sand_uca";"beach_sand";"2";"beach_sand_uca";"training";"beach_sand";"1";"1";"2";"1";"1";"1";"sandy-with-FBA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"Sand with FBA"
